"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2015","3,407.90","3,409.00","3,482.80","3,363.15","399.93K","0.63%"
"02/03/2015","3,386.65","3,363.00","3,419.90","3,332.10","272.22K","1.12%"
"28/02/2015","3,349.05","3,284.60","3,360.00","3,268.85","106.20K","2.17%"
"27/02/2015","3,278.05","3,249.00","3,299.00","3,201.00","433.85K","0.79%"
"26/02/2015","3,252.20","3,253.00","3,283.00","3,227.00","497.01K","-0.83%"
"25/02/2015","3,279.35","3,375.00","3,385.05","3,265.00","405.56K","-2.39%"
"24/02/2015","3,359.75","3,375.00","3,410.00","3,340.40","216.41K","-0.89%"
"23/02/2015","3,389.80","3,402.20","3,424.00","3,362.60","416.00K","-0.41%"
"20/02/2015","3,403.90","3,398.00","3,424.95","3,371.00","151.48K","0.62%"
"19/02/2015","3,382.90","3,347.05","3,396.75","3,312.70","171.68K","0.85%"
"18/02/2015","3,354.25","3,317.00","3,376.00","3,312.10","209.70K","0.09%"
"16/02/2015","3,351.25","3,352.00","3,402.80","3,338.15","149.94K","0.22%"
"13/02/2015","3,343.95","3,360.00","3,369.00","3,321.00","211.06K","0.38%"
"12/02/2015","3,331.20","3,195.00","3,343.15","3,192.35","457.24K","5.67%"
"11/02/2015","3,152.40","3,140.30","3,180.90","3,123.95","232.89K","0.70%"
"10/02/2015","3,130.50","3,111.05","3,145.50","3,075.00","338.99K","1.01%"
"09/02/2015","3,099.10","3,033.00","3,112.95","3,007.00","352.15K","1.80%"
"06/02/2015","3,044.30","3,075.00","3,117.00","3,030.00","244.50K","-0.90%"
"05/02/2015","3,072.05","3,088.00","3,095.00","3,061.20","422.14K","-0.80%"
"04/02/2015","3,096.90","3,105.00","3,126.25","3,085.00","214.85K","0.32%"
"03/02/2015","3,087.15","3,102.00","3,119.00","3,074.90","522.57K","-1.65%"
"02/02/2015","3,139.10","3,179.75","3,184.00","3,135.10","386.25K","-2.91%"
"30/01/2015","3,233.25","3,370.00","3,372.85","3,201.00","632.76K","-3.87%"
"29/01/2015","3,363.30","3,234.00","3,380.00","3,210.35","1.40M","3.84%"
"28/01/2015","3,239.05","3,220.00","3,245.00","3,172.10","249.71K","0.83%"
"27/01/2015","3,212.40","3,324.85","3,324.85","3,195.35","412.30K","-4.10%"
"23/01/2015","3,349.60","3,389.75","3,389.75","3,335.00","441.48K","-0.35%"
"22/01/2015","3,361.25","3,330.10","3,365.00","3,330.10","245.80K","0.76%"
"21/01/2015","3,335.85","3,277.50","3,348.90","3,252.00","431.16K","0.90%"
"20/01/2015","3,306.20","3,342.00","3,342.00","3,292.35","297.71K","-0.53%"
"19/01/2015","3,323.90","3,280.00","3,330.00","3,269.70","248.67K","1.16%"
"16/01/2015","3,285.80","3,242.00","3,295.00","3,231.25","422.00K","1.40%"
"15/01/2015","3,240.55","3,226.60","3,253.95","3,203.95","443.67K","1.01%"
"14/01/2015","3,208.25","3,205.00","3,223.20","3,191.00","331.31K","-0.47%"
