"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2024","1,300.20","1,318.00","1,318.00","1,287.00","2.96M","-0.97%"
"04/01/2024","1,312.95","1,304.00","1,328.50","1,297.05","2.85M","1.11%"
"03/01/2024","1,298.60","1,296.20","1,304.65","1,291.15","1.70M","0.19%"
"02/01/2024","1,296.20","1,261.00","1,299.00","1,257.15","3.17M","2.85%"
"01/01/2024","1,260.25","1,261.00","1,263.95","1,252.50","733.45K","0.06%"
"29/12/2023","1,259.45","1,262.10","1,271.95","1,252.55","1.84M","-0.21%"
"28/12/2023","1,262.15","1,254.95","1,264.65","1,249.55","2.04M","0.77%"
"27/12/2023","1,252.45","1,250.00","1,255.40","1,241.25","2.01M","0.40%"
"26/12/2023","1,247.50","1,243.65","1,250.00","1,239.30","1.80M","0.31%"
"22/12/2023","1,243.65","1,240.00","1,251.00","1,236.05","2.06M","0.82%"
"21/12/2023","1,233.50","1,224.10","1,237.95","1,208.55","1.92M","0.11%"
"20/12/2023","1,232.15","1,255.00","1,255.00","1,228.45","1.84M","-1.03%"
"19/12/2023","1,244.95","1,264.80","1,267.95","1,236.50","2.19M","-0.62%"
"18/12/2023","1,252.75","1,235.75","1,267.90","1,234.00","2.14M","1.38%"
"15/12/2023","1,235.75","1,241.00","1,246.50","1,233.00","3.47M","0.36%"
"14/12/2023","1,231.30","1,239.00","1,239.90","1,224.25","2.34M","-0.15%"
"13/12/2023","1,233.10","1,218.30","1,239.60","1,212.65","2.45M","1.24%"
"12/12/2023","1,218.00","1,249.00","1,250.00","1,212.65","2.83M","-1.88%"
"11/12/2023","1,241.40","1,236.00","1,246.35","1,215.10","1.17M","0.45%"
"08/12/2023","1,235.80","1,236.05","1,247.60","1,230.65","1.61M","-0.28%"
"07/12/2023","1,239.30","1,231.00","1,241.90","1,228.90","1.48M","-0.08%"
"06/12/2023","1,240.35","1,248.55","1,258.00","1,233.30","1.70M","0.06%"
"05/12/2023","1,239.55","1,225.90","1,243.60","1,220.55","930.04K","0.68%"
"04/12/2023","1,231.15","1,237.25","1,240.00","1,220.50","1.62M","-0.01%"
"01/12/2023","1,231.25","1,233.05","1,241.85","1,225.00","1.75M","0.44%"
"30/11/2023","1,225.85","1,192.35","1,231.15","1,192.35","4.67M","1.97%"
"29/11/2023","1,202.20","1,191.95","1,209.50","1,184.50","1.81M","0.91%"
"28/11/2023","1,191.35","1,197.15","1,200.35","1,189.75","886.71K","-0.34%"
"24/11/2023","1,195.45","1,200.00","1,209.60","1,192.80","1.38M","-0.28%"
"23/11/2023","1,198.80","1,203.55","1,209.90","1,194.75","1.18M","-0.44%"
"22/11/2023","1,204.10","1,205.00","1,214.80","1,199.00","1.40M","0.22%"
"21/11/2023","1,201.40","1,189.00","1,205.00","1,186.25","999.14K","1.13%"
"20/11/2023","1,188.00","1,196.00","1,198.25","1,185.25","1.05M","-0.55%"
