"Date","Price","Open","High","Low","Vol.","Change %"
"25/08/2023","15,025.20","15,173.20","15,182.70","15,000.05","13.73M","-1.11%"
"24/08/2023","15,193.15","15,326.95","15,374.90","15,171.65","13.90M","-0.58%"
"23/08/2023","15,282.50","15,344.60","15,359.25","15,266.20","15.12M","-0.13%"
"22/08/2023","15,302.60","15,334.55","15,378.20","15,262.25","15.54M","-0.20%"
"21/08/2023","15,333.35","15,262.55","15,375.25","15,241.05","13.24M","0.41%"
"18/08/2023","15,271.50","15,363.55","15,450.60","15,229.50","18.41M","-0.57%"
"17/08/2023","15,358.45","15,406.30","15,445.35","15,324.70","17.14M","-0.26%"
"16/08/2023","15,398.80","15,289.50","15,416.00","15,192.25","20.63M","0.61%"
"14/08/2023","15,305.40","15,349.80","15,365.40","15,207.00","26.96M","-0.33%"
"11/08/2023","15,355.50","15,591.45","15,598.60","15,340.45","39.78M","-1.45%"
"10/08/2023","15,580.70","15,711.40","15,750.50","15,513.65","34.02M","-0.74%"
"09/08/2023","15,696.85","15,631.55","15,733.15","15,594.95","47.96M","0.76%"
"08/08/2023","15,578.50","15,555.30","15,640.25","15,478.35","41.62M","0.64%"
"07/08/2023","15,479.25","15,276.05","15,498.10","15,214.85","30.64M","1.56%"
"04/08/2023","15,241.00","15,098.55","15,302.25","15,079.25","33.97M","0.94%"
"03/08/2023","15,099.20","14,925.85","15,253.20","14,922.35","40.80M","1.04%"
"02/08/2023","14,943.40","14,997.90","15,012.20","14,831.90","21.45M","-0.39%"
"01/08/2023","15,001.30","15,016.85","15,110.95","14,961.80","18.64M","0.06%"
"31/07/2023","14,992.15","14,935.60","15,017.35","14,918.25","27.77M","0.20%"
"28/07/2023","14,962.55","14,908.95","15,046.70","14,883.45","33.38M","0.29%"
"27/07/2023","14,919.95","14,658.70","15,105.65","14,601.05","63.19M","3.05%"
"26/07/2023","14,478.35","14,423.30","14,505.45","14,378.45","14.20M","0.66%"
"25/07/2023","14,383.25","14,406.80","14,425.35","14,345.95","14.98M","0.36%"
"24/07/2023","14,332.05","14,261.25","14,405.15","14,236.20","21.21M","0.41%"
"21/07/2023","14,274.00","14,295.60","14,363.90","14,229.85","16.11M","-0.18%"
"20/07/2023","14,299.05","14,137.85","14,329.70","14,111.40","24.87M","1.46%"
"19/07/2023","14,092.60","14,026.35","14,150.80","14,000.60","19.63M","0.54%"
"18/07/2023","14,017.15","14,063.60","14,076.45","13,926.80","14.83M","-0.26%"
"17/07/2023","14,053.70","13,979.40","14,076.90","13,973.95","18.24M","0.77%"
"14/07/2023","13,945.65","13,931.75","13,961.20","13,852.90","17.78M","0.50%"
"13/07/2023","13,876.55","13,979.40","13,980.05","13,841.45","16.43M","-0.43%"
"12/07/2023","13,936.70","13,918.20","13,970.30","13,873.75","22.35M","0.30%"
"11/07/2023","13,895.40","13,795.55","13,915.50","13,780.45","16.31M","1.04%"
"10/07/2023","13,751.80","13,811.15","13,821.00","13,705.35","20.96M","-0.12%"
"07/07/2023","13,769.00","13,800.40","13,917.55","13,730.35","33.46M","-0.74%"
"06/07/2023","13,871.60","13,769.40","13,904.65","13,759.75","21.70M","0.72%"
"05/07/2023","13,772.00","13,726.25","13,788.65","13,682.85","16.92M","0.71%"
"04/07/2023","13,675.45","13,683.15","13,713.95","13,578.35","17.81M","0.45%"
"03/07/2023","13,614.00","13,796.55","13,811.70","13,597.40","19.86M","-1.11%"
"30/06/2023","13,767.50","13,640.80","13,805.05","13,634.70","38.00M","1.06%"
"28/06/2023","13,622.75","13,409.20","13,651.65","13,407.25","29.45M","1.46%"
"27/06/2023","13,426.90","13,421.65","13,449.65","13,359.60","23.67M","0.29%"
"26/06/2023","13,388.60","13,193.70","13,406.00","13,176.20","27.13M","1.53%"
"23/06/2023","13,186.30","13,168.90","13,230.35","13,077.45","22.99M","0.15%"
"22/06/2023","13,166.85","13,224.15","13,258.90","13,151.30","23.93M","-0.61%"
"21/06/2023","13,247.70","13,252.85","13,307.80","13,178.25","17.74M","0.07%"
"20/06/2023","13,238.85","13,302.55","13,316.40","13,206.00","10.27M","-0.19%"
"19/06/2023","13,264.65","13,272.90","13,347.55","13,254.85","14.77M","0.17%"
"16/06/2023","13,241.95","13,219.90","13,278.50","13,203.40","23.17M","0.62%"
"15/06/2023","13,160.60","13,004.30","13,191.80","12,999.70","25.14M","1.42%"
"14/06/2023","12,976.80","13,031.80","13,036.50","12,942.00","22.05M","-0.13%"
"13/06/2023","12,993.75","12,898.20","13,021.60","12,879.75","23.72M","1.07%"
"12/06/2023","12,856.05","12,850.45","12,900.60","12,796.05","14.58M","-0.04%"
"09/06/2023","12,861.05","12,917.80","12,949.55","12,849.85","14.51M","-0.39%"
